Depth/Thickness(m),GR(API),AC(us/m),RT(ohm×m),TOC(%),Journal,Author,Well,Area,DOI1,DOI2,,
2490,29.06525,65.23841,78.04103,1.72428,Oil & Gas Geology (Chinese Edition)/Marine Petroleum Geology,"Shen et al., 2021/Nie et., 2021",N201,Changning/South Sichuan,10.11743/ogg20210109,10.3969/j.issn.1672-9854.2021.01.005,,
2490.125,30.90459,66.23507,99.6852,1.58637,Oil & Gas Geology (Chinese Edition)/Marine Petroleum Geology,"Shen et al., 2021/Nie et., 2022",N201,Changning/South Sichuan,10.11743/ogg20210109,10.3969/j.issn.1672-9854.2021.01.005,,
2490.25,33.1118,67.23173,112.66383,1.58637,Oil & Gas Geology (Chinese Edition)/Marine Petroleum Geology,"Shen et al., 2021/Nie et., 2023",N201,Changning/South Sichuan,10.11743/ogg20210109,10.3969/j.issn.1672-9854.2021.01.005,,
2490.375,32.74393,68.22838,116.16438,1.51742,Oil & Gas Geology (Chinese Edition)/Marine Petroleum Geology,"Shen et al., 2021/Nie et., 2024",N201,Changning/South Sichuan,10.11743/ogg20210109,10.3969/j.issn.1672-9854.2021.01.005,,`
2490.5,31.27246,67.23173,102.78249,1.86219,Oil & Gas Geology (Chinese Edition)/Marine Petroleum Geology,"Shen et al., 2021/Nie et., 2025",N201,Changning/South Sichuan,10.11743/ogg20210109,10.3969/j.issn.1672-9854.2021.01.005,,
2490.625,31.27246,65.80793,82.96596,2.2759,Oil & Gas Geology (Chinese Edition)/Marine Petroleum Geology,"Shen et al., 2021/Nie et., 2026",N201,Changning/South Sichuan,10.11743/ogg20210109,10.3969/j.issn.1672-9854.2021.01.005,,
2490.75,30.90459,64.38414,62.99467,2.82753,Oil & Gas Geology (Chinese Edition)/Marine Petroleum Geology,"Shen et al., 2021/Nie et., 2027",N201,Changning/South Sichuan,10.11743/ogg20210109,10.3969/j.issn.1672-9854.2021.01.005,,
2490.875,30.53672,62.96034,50.84925,3.51705,Oil & Gas Geology (Chinese Edition)/Marine Petroleum Geology,"Shen et al., 2021/Nie et., 2028",N201,Changning/South Sichuan,10.11743/ogg20210109,10.3969/j.issn.1672-9854.2021.01.005,,
2491,30.16885,61.67893,39.8086,4.20658,Oil & Gas Geology (Chinese Edition)/Marine Petroleum Geology,"Shen et al., 2021/Nie et., 2029",N201,Changning/South Sichuan,10.11743/ogg20210109,10.3969/j.issn.1672-9854.2021.01.005,,
2491.125,28.32951,60.68227,31.16515,4.89611,Oil & Gas Geology (Chinese Edition)/Marine Petroleum Geology,"Shen et al., 2021/Nie et., 2030",N201,Changning/South Sichuan,10.11743/ogg20210109,10.3969/j.issn.1672-9854.2021.01.005,,
